BUF,CHI,23,20,false
BUF,MIA,29,10,true
BUF,SD,10,22,true
BUF,HOU,17,23,false
BUF,DET,17,14,false
MIA,NE,33,20,true
MIA,BUF,10,29,false
MIA,KC,15,34,true
MIA,OAK,38,14,false
NE,MIA,20,33,false
NE,MIN,30,7,false
NE,OAK,16,9,true
NE,KC,14,41,false
NE,CIN,43,17,true
NYJ,OAK,19,14,true
NYJ,GB,24,31,false
NYJ,CHI,19,27,true
NYJ,DET,17,24,true
NYJ,SD,0,31,false
CIN,BAL,23,16,false
CIN,ATL,24,10,true
CIN,TEN,33,7,true
CIN,NE,17,43,false
CLE,PIT,27,30,false
CLE,NO,26,24,true
CLE,BAL,21,23,true
CLE,TEN,29,28,false
PIT,CLE,30,27,true
PIT,BAL,6,26,false
PIT,CAR,37,19,false
PIT,TB,24,27,true
PIT,JAC,17,9,false
HOU,WAS,17,6,true
HOU,OAK,30,14,false
HOU,NYG,17,30,false
HOU,BUF,23,17,true
HOU,DAL,17,20,false
IND,DEN,24,31,false
IND,PHI,27,30,true
IND,JAC,44,17,false
IND,TEN,41,17,true
IND,BAL,20,13,true
JAC,PHI,17,34,false
JAC,WAS,10,41,false
JAC,IND,17,44,true
JAC,SD,14,33,false
JAC,PIT,9,17,true
TEN,KC,26,10,false
TEN,DAL,10,26,true
TEN,CIN,7,33,false
TEN,IND,17,41,false
TEN,CLE,28,29,true
DEN,IND,31,24,true
DEN,KC,24,17,true
DEN,SEA,20,26,false
DEN,ARI,41,20,true
KC,TEN,10,26,true
KC,DEN,17,24,false
KC,MIA,34,15,false
KC,NE,41,14,true
KC,SF,17,22,false
OAK,NYJ,14,19,false
OAK,HOU,14,30,true
OAK,NE,9,16,false
OAK,MIA,14,38,true
SD,ARI,17,18,false
SD,SEA,30,21,true
SD,BUF,22,10,false
SD,JAC,33,14,true
SD,NYJ,31,0,true
DAL,SF,17,28,true
DAL,TEN,26,10,false
DAL,STL,34,31,false
DAL,NO,38,17,true
DAL,HOU,20,17,true
NYG,DET,14,35,false
NYG,ARI,14,25,true
NYG,HOU,30,17,true
NYG,WAS,45,14,false
NYG,ATL,30,20,true
PHI,JAC,34,17,true
PHI,IND,30,27,false
PHI,WAS,37,34,true
PHI,SF,21,26,false
PHI,STL,34,28,true
WAS,HOU,6,17,false
WAS,JAC,41,10,true
WAS,PHI,34,37,false
WAS,NYG,14,45,true
WAS,SEA,17,27,true
CHI,BUF,20,23,true
CHI,SF,28,20,false
CHI,NYJ,27,19,false
CHI,GB,17,38,true
CHI,CAR,24,31,false
DET,NYG,35,14,true
DET,CAR,7,24,false
DET,GB,19,7,true
DET,NYJ,24,17,false
DET,BUF,14,17,true
GB,SEA,16,36,false
GB,NYJ,31,24,true
GB,DET,7,19,false
GB,CHI,38,17,false
GB,MIN,42,10,true
MIN,STL,34,6,false
MIN,NE,7,30,true
MIN,NO,9,20,false
MIN,ATL,41,28,true
MIN,GB,10,42,false
ATL,NO,37,34,true
ATL,CIN,10,24,false
ATL,TB,56,14,true
ATL,MIN,28,41,false
ATL,NYG,20,30,false
CAR,TB,20,14,false
CAR,DET,24,7,true
CAR,PIT,19,37,true
CAR,BAL,10,38,false
CAR,CHI,31,24,true
NO,ATL,34,37,false
NO,CLE,24,26,false
NO,MIN,20,9,true
NO,DAL,17,38,false
NO,TB,37,31,true
TB,CAR,14,20,true
TB,STL,17,19,true
TB,ATL,14,56,false
TB,PIT,27,24,false
TB,NO,31,37,false
ARI,SD,18,17,true
ARI,NYG,25,14,false
ARI,SF,23,14,true
ARI,DEN,20,41,false
STL,MIN,6,34,true
STL,TB,19,17,false
STL,DAL,31,34,true
STL,PHI,28,34,false
SEA,GB,36,16,true
SEA,SD,21,30,false
SEA,DEN,26,20,true
SEA,WAS,27,17,false
SF,DAL,28,17,false
SF,CHI,20,28,true
SF,ARI,14,23,false
SF,PHI,26,21,true
SF,KC,22,17,true
BAL,CIN,16,23,true
BAL,PIT,26,6,true
BAL,CLE,23,21,false
BAL,CAR,38,10,true
BAL,IND,13,20,false
